ticker,exchange,Category,Industry,Sector,market_cap_category,Growth Metric (%),P/E Ratio,Industry Median P/E,Earnings Per Share,Price-to-Book,Industry Median PB,EPS Growth (%),Dividend Yield (%),1-Month Return (%),3-Month Return (%),6-Month Return (%),1-Year Return (%),Business Description
SAND,NYSE,Growth,Gold,Basic Materials,mid,71.15,101.0,28.99,0.12,2.4876845,3.96,54.2,0.47,3.41,25.34,42.97,102.49,"Sandstorm Gold Ltd. operates as a gold royalty company. The company focuses on acquiring royalties and gold and other metals purchase agreements from companies that have advanced stage operating mines. It offers upfront payments for companies to acquire a stream and receives the right to purchase a percentage of a mine's production for the life of the mine. The company has a portfolio of 243 streams and royalties. It primarily has operations in Canada, Mexico, the United States, Mongolia, Burkina Faso, Ecuador, South Africa, Ghana, Botswana, Cote D'Ivoire, Argentina, Brazil, Chile, Peru, Egypt, Ethiopia, Guyana, Paraguay, French Guiana, Turkey, Sweden, Fiji, and Australia. The company was formerly known as Sandstorm Resources Ltd. and changed its name to Sandstorm Gold Ltd. in February 2011. Sandstorm Gold Ltd. was incorporated in 2007 and is headquartered in Vancouver, Canada."
PFXNZ,NASDAQ,Growth,NONE,NONE,nano,69.87,,42.6,,,9.97,,5.550619995247162,0.71,3.0,5.71,10.17,None
IREN,NASDAQ,Growth,Capital Markets,Financial Services,large,66.94,155.69232,20.0,0.39,8.622551,2.42,,0.0,67.18,234.55,986.23,539.83,"IREN Limited operates in the vertically integrated data center business in Australia and Canada. The company owns and operates computing hardware, as well as electrical infrastructure and data centers. It also mines Bitcoin, a scarce digital asset that is created and transmitted through the operation of a peer-to-peer network of computers running the Bitcoin software. The company was formerly known as Iris Energy Limited and changed its name to IREN Limited in November 2024. The company was incorporated in 2018 and is based in Sydney, Australia."
AMSC,NASDAQ,Growth,Specialty Industrial Machinery,Industrials,mid,65.87,150.05,28.93,0.4,8.137202,3.78,,0.0,-6.93,41.89,226.02,140.85,"American Superconductor Corporation, together with its subsidiaries, provides megawatt-scale power resiliency solutions worldwide. It operates through Grid and Wind segments. The Grid segment offers products and services that enable electric utilities, industrial facilities, and renewable energy project developers to connect, transmit, and distribute power under the Gridtec Solutions brand. The company provides transmission planning services, which identify power grid congestion, poor power quality, and other risks; grid interconnection solutions for wind farms and solar power plants, power quality systems, and transmission and distribution cable systems; D-VAR systems used for controlling power flow and voltage in the AC transmission system; actiVAR system, a fast-switching medium-voltage reactive compensation solution; armorVAR system installed for reactive compensation, power factor correction, loss reduction, utility bill savings, and mitigation of common power quality concerns related to power converter-based generation and load devices; and D-VAR volt var optimization (VVO) that serves the distribution power grid market. This segment also offers ship protection systems, which reduce a naval ship's magnetic signature; and Onboard power delivery systems, power generation systems, and propulsion systems; and transformers and rectifiers systems. The Wind segment designs wind turbine systems and licenses these designs to third parties under the Windtec Solutions brand. The company also supplies power electronics and software-based control systems, engineered designs, and support services; and provides customer support services to wind turbine manufacturers. This segment's design portfolio comprises a range of drivetrains and power ratings of 2 megawatts and higher. American Superconductor Corporation was incorporated in 1987 and is headquartered in Ayer, Massachusetts."
UI,NYSE,Growth,Communication Equipment,Technology,large,65.14,63.70894,27.76,11.75,67.7632,2.7,156.9,0.43,19.39,67.41,152.2,199.63,"Ubiquiti Inc. develops networking technology for service providers, enterprises, and consumers in North America, Europe, the Middle East, Africa, Asia Pacific, South America. The company develops technology platforms for high-capacity distributed Internet access, unified information technology, and consumer electronics for professional, home, and personal use. Its service provider product platforms offer carrier-class network infrastructure for fixed wireless broadband, wireless backhaul systems, and routing and related software; and enterprise product platforms provide wireless LAN infrastructure, video surveillance products, switching and routing solutions, security gateways, door access systems, and other WLAN products. It also provides technology platforms, such as UniFi Cloud Gateway, an Enterprise class internet and security gateway device; UniFi Wi-Fi, an enterprise Wi-Fi system; UniFi Protect, a video surveillance platform; UniFi Switch that deliver performance, switching, and power of ethernet support for enterprise networks; UniFi Access, a door access solution; UniFi Talk, a plug-and-play phone system and VoIP subscription service, as well as UniFi Connect and its AmpliFi platform. In addition, the company offers airMAX, which include proprietary protocols that contain technologies for minimizing signal noise; airFiber, a wireless backhauls point-to-point radio system; UFiber GPON, a plug and play fiber network technology to build high speed fiber internet networks; and Wave, a technology platform. Further, the company provides base stations, radios, backhaul equipment, and customer premise equipment; embedded radio products; and antennas. It serves customers through a network of distributors, online retailers, and direct to customers through webstores. The company was formerly known as Ubiquiti Networks, Inc. and changed its name to Ubiquiti Inc. in August 2019. Ubiquiti Inc. was incorporated in 2003 and is headquartered in New York, New York."
ETR,NYSE,Income,Utilities - Regulated Electric,Utilities,large,66.05,23.781635,20.86,4.03,2.638839,1.89,856.5,2.5,9.12,10.85,16.7,45.89,"Entergy Corporation, together with its subsidiaries, engages in the production and retail distribution of electricity in the United States. It generates, transmits, distributes, and sells electric power in portions of Arkansas, Louisiana, Mississippi, and Texas, including the City of New Orleans; and distributes natural gas. It also engages in the ownership of interests in non-nuclear power plants that sell electric power to wholesale customers, as well as provides decommissioning services to other nuclear power plant owners. It generates electricity through gas, nuclear, coal, hydro, and solar power sources. The company sells energy to retail power providers, utilities, electric power co-operatives, power trading organizations, and other power generation companies. The company's power plants have approximately 25,000 megawatts of electric generating capacity. It delivers electricity to 3 million utility customers in Arkansas, Louisiana, Mississippi, and Texas. Entergy Corporation was founded in 1913 and is headquartered in New Orleans, Louisiana."
JOF,NYSE,Income,Asset Management,Financial Services,nano,59.52,38.22222,11.8,0.27,1.0912552,1.0,,10.31,-4.13,8.15,27.52,41.46,"Japan Smaller Capitalization Fund, Inc. is a closed-ended equity mutual fund launched by Nomura Asset Management U.S.A. Inc. It is managed by Nomura Asset Management Co., Ltd. The fund invests in the public equity markets of Japan. It invests in stocks traded on the Tokyo, Osaka and Nagoya Stock Exchanges, JASDAQ, Mothers, Hercules, Centrex, and other indices. The fund seeks to invest in stocks of companies operating across diversified sectors. It primarily invests in stocks of small cap companies. The fund benchmarks the performance of its portfolio against the The Russell/Nomura Small Cap Index. It was formerly known as Japan OTC Equity Fund, Inc. Japan Smaller Capitalization Fund, Inc. was formed on March 22, 1990 and is domiciled in the United States."
AVAL,NYSE,Income,Banks - Regional,Financial Services,mid,57.69,11.636363,11.86,0.33,0.005133868,1.07,142.2,3.6,18.89,28.83,47.6,91.88,"Grupo Aval Acciones y Valores S.A. provides a range of financial services and products to public and private sector customers in Colombia and Central America. The company offers traditional deposit services and products, including checking accounts, savings accounts, time deposits, and other deposits. It also provides commercial loans comprising general purpose loans, working capital loans, leases, loans funded by development banks, corporate credit cards, and overdraft loans; consumer loans, such as payroll loans, personal loans, automobile and other vehicle loans, credit cards, overdrafts, leases, and general-purpose loans; and microcredit and mortgage loans. In addition, the company offers pension and severance fund management services; investment banking services, including services relating to capital markets, mergers and acquisitions, and delivering financial consulting services; mobile and online banking services; and bancassurance, insurance, trust, bonded warehousing, real estate escrow, merchandise and document storage and deposit, customs agency, cargo management, surety bond and merchandise distribution, and payment and collection services, as well as provides deposit and lending operations in foreign currencies. Further, it is involved in equity investments in various sectors, including infrastructure, energy and gas, agribusiness, and hospitality; and providing treasury operations. The company was incorporated in 1994 and is headquartered in Bogotá, Colombia."
KTH,NYSE,Income,INVESTMENT BANKING & INVESTMENT SERVICES,FINANCIALS,nano,49.11,,12.17,,,3.6,,6.61,1.29,3.55,5.32,5.28,None
EMF,NYSE,Income,Asset Management,Financial Services,nano,44.31,8.571428,11.8,1.96,1.127441,1.0,22.900000000000002,5.24,1.82,14.88,42.01,37.04,"Templeton Emerging Markets Fund is a closed-ended equity mutual fund launched by Franklin Resources Inc. The fund is managed by Templeton Asset Management Ltd. It invests in the public equity markets of emerging market countries across the globe. The fund seeks to invest in stocks of companies operating across diversified sectors. It primarily invests in value stocks of companies. The fund employs fundamental analysis with a focus on such factors as long-term earnings, asset value, and cash flow potential to create its portfolio. It benchmarks the performance of its portfolio against the MSCI Emerging Markets Index. Templeton Emerging Markets Fund was formed on February 26, 1987 and is domiciled in the United States."
XEL,NASDAQ,Income,Utilities - Regulated Electric,Utilities,large,43.87,22.481997,20.86,3.61,2.2890987,1.89,47.0,2.81,12.46,14.29,17.6,30.88,"Xcel Energy Inc., through its subsidiaries, engages in the generation, purchasing, transmission, distribution, and sale of electricity in the United States. It operates through Regulated Electric Utility and Regulated Natural Gas Utility segments. The company generates electricity through wind, nuclear, hydroelectric, biomass, and solar energy sources, as well as coal, natural gas, oil, wood, and refuse-derived fuels. It also purchases, transports, distributes, and sells natural gas to retail customers, as well as transports customer-owned natural gas. In addition, the company develops and leases natural gas pipelines, and storage and compression facilities; and invests in rental housing projects and nonregulated assets, as well as procures equipment for the construction of renewable generation facilities. It serves residential, commercial, and industrial customers in the portions of Colorado, Michigan, Minnesota, New Mexico, North Dakota, South Dakota, Texas, and Wisconsin. Xcel Energy Inc. was formerly known as Northern States Power company. The company was incorporated in 1909 and is headquartered in Minneapolis, Minnesota."
GCV,NYSE,Income,Asset Management,Financial Services,micro,43.84,14.066666,11.8,0.3,1.1692989,1.0,-46.6,11.37,3.18,10.8,33.42,28.18,"The Gabelli Convertible and Income Securities Fund Inc. is a closed-ended balanced mutual fund launched by GAMCO Investors, Inc. The fund is managed by Gabelli Funds, LLC. It invests in public equity and fixed income markets. The fund seeks to invest in stocks of companies operating across diversified sectors. It primarily invests in convertible securities and other debt and equity securities. The fund benchmarks the performance of its portfolio against the Standard & Poor's 500 Index, Barclays Government/Credit Bond Index, and Lipper Convertible Securities Fund Average. It was formerly known as Gabelli Convertible Securities Fund Inc. The Gabelli Convertible and Income Securities Fund Inc. was formed on December 19, 1988 and is domiciled in the United States."
CTDD,NYSE,Income,,,nano,42.38,,5.04,,,,,9.790000000000001,-4.24,6.04,29.72,26.26,"Qwest Corporation, a key player in the telecommunications sector, provides a diverse array of services to business and residential customers across 14 states, primarily in the Western and Midwestern United States. Based in Monroe, Louisiana, the company boasts a robust infrastructure tailored to meet the dynamic demands of its clientele. With a strategic emphasis on integrated communication solutions, Qwest is poised to benefit from the growing need for high-quality connectivity and data-centric services in an increasingly digital world, positioning itself as a strong contender for future growth and innovation."
IAE,NYSE,Income,Asset Management,Financial Services,nano,39.7,9.891892,11.8,0.74,,1.0,,10.66,0.74,7.66,32.5,24.41,"Voya Asia Pacific High Dividend Equity Income Fund is a closed-ended equity mutual fund launched by Voya Investment Management LLC. The fund is co-managed by Voya Investments, LLC and NNIP Advisors B.V. It invests in the public equity markets of the Asia Pacific region. The fund seeks to invest in stocks of companies operating across diversified sectors. It primarily invests in dividend-paying stocks of companies. The fund also invests through derivatives having economic characteristics similar to the equity securities such as call options on selected indices and/or equity securities. It employs a combination of fundamental and quantitative analysis with a bottom-up stock picking approach, focusing on such factors as liquidity and dividend yield, cash flow strength, capital structure, capital expenditures, and operating margins to create its portfolio. The fund benchmarks the performance of its portfolio against the MSCI All Country Asia Pacific ex-Japan Index. It was formerly known as ING Asia Pacific High Dividend Equity Income Fund. Voya Asia Pacific High Dividend Equity Income Fund was formed on January 8, 2007 and is domiciled in the United States."
GJP,NYSE,Income,INVESTMENT BANKING & INVESTMENT SERVICES,FINANCIALS,nano,39.37,,12.17,,,3.6,,3.6700000000000004,0.43,1.38,4.67,5.93,None
TVE,NYSE,Income,ELECTRICAL UTILITIES & IPPS,UTILITIES,nano,38.18,,,,,,,4.19,1.09,4.14,4.94,8.48,"Tennessee Valley Authority (TVE) is a federally owned corporation that serves as a cornerstone of the energy infrastructure for the Tennessee Valley region, headquartered in Knoxville, Tennessee. With a diversified energy portfolio that includes hydroelectric, nuclear, and fossil fuel generation, TVA is at the forefront of promoting sustainable and renewable energy initiatives while ensuring reliability and affordability of electricity. Beyond its primary mission, the Authority actively engages in economic development and environmental stewardship, driving innovation to enhance the quality of life in the communities it serves. As a significant player in the energy market, TVA is strategically positioned to navigate the transition towards modern energy solutions and meet the evolving needs of its stakeholders."
TDF,NYSE,Income,Asset Management,Financial Services,nano,37.94,4.568,11.8,2.5,0.983296,1.0,8659.2,3.5,-0.44,12.04,32.37,30.14,"Templeton Dragon Fund, Inc. is a closed ended equity mutual fund launched by Franklin Resources, Inc. The fund is managed by Templeton Asset Management Ltd. It invests in the public equity markets of China. The fund seeks to invest in stocks of companies operating across diversified sectors. It primarily invests in value stocks of companies. The fund employs fundamental analysis focusing on factors like growth prospects, competitive positions in export markets, technologies, research and development, productivity, labor costs, raw material costs and sources, profit margins, returns on investment, capital resources, government regulation, and management to create its portfolio. It is actively managed. Templeton Dragon Fund, Inc. was formed on September 20, 1994 and is domiciled in the United States."
CTBB,NYSE,Income,,,nano,37.84,,5.04,,,,,9.39,-7.06,3.3,25.33,23.88,"Qwest Corporation, a key player in the integrated communications sector, provides a diverse range of telecommunications services to both business and residential customers across the Western and Midwestern United States, including states like Arizona, Colorado, and Minnesota. With its headquarters in Monroe, Louisiana, the company is dedicated to delivering reliable voice, data, and internet solutions while strategically targeting underserved markets. This commitment positions Qwest to capitalize on growth opportunities within the rapidly evolving communications landscape, enhancing its competitive edge in a dynamic industry."
FLC,NYSE,Income,Asset Management,Financial Services,nano,37.15,10.290698,11.8,1.72,0.9754754,1.0,-90.2,6.6,-0.47,5.44,13.91,9.86,"Flaherty & Crumrine Total Return Fund Inc. is a closed-ended balanced mutual fund launched and managed by Flaherty & Crumrine Incorporated. The fund invests in the public equity and fixed income markets of the United States. It seeks to invest in stocks of companies operating across utilities and banking sectors. The fund primarily invests in investment-grade securities consisting of preferred securities and other income-producing securities comprising of various debt securities. It benchmarks the performance of its portfolio against the Barclays Capital U.S. Aggregate Index and the S&P 500 Index. The fund was formerly known as Flaherty & Crumrine/Claymore Total Return Fund, Inc. Flaherty & Crumrine Total Return Fund Inc. was formed on August 26, 2003 and is domiciled in the United States."
GNT,NYSE,Income,Asset Management,Financial Services,micro,35.38,5.0364966,11.8,1.37,,1.0,,8.7,0.85,9.69,19.65,24.5,"GAMCO Natural Resources, Gold & Income Trust is a closed-ended equity mutual fund launched by GAMCO Investors, Inc. The fund is managed by Gabelli Funds, LLC. It invests in public equity markets across the globe. The fund invests in securities of companies principally engaged in natural resource and gold industries and by writing covered call options on the underlying equity securities. It focuses on factors such as recent prices of comparable securities that are publicly traded, reliable prices of securities not publicly traded, the use of valuation models, current analyst reports, valuing the income or cash flow of the issuer, or cost if the preceding factors do not apply to create its portfolio. The fund invests in stocks of companies across market capitalization. It benchmarks the performance of its portfolio against the CBOE S&P 500 Buy/Write Index, Philadelphia Gold & Silver Index, Dow Jones U.S. Basic Materials Index, and S&P Global Agribusiness Equity Index. The fund was formerly known as Gabelli Natural Resources, Gold & Income Trust. GAMCO Natural Resources, Gold & Income Trust was formed on January 27, 2011 and is domiciled in the United States."
AGX,NYSE,Income/Growth Blend,Engineering & Construction,Industrials,mid,158.15,34.004787,39.22,8.35,9.974357,5.16,93.8,0.7,9.38,37.37,95.4,122.63,"Argan, Inc., through its subsidiaries, provides engineering, procurement, construction, commissioning, maintenance, project development, and technical consulting services to the power generation market in the United States, Republic of Ireland, and the United Kingdom. Its Power Industry Services segment offers engineering, procurement, and construction, as well as designing, building, and commissioning of large-scale energy projects to the owners of alternative energy facilities, such as biomass plants, wind farms, battery storage, and solar fields; and design, construction, project management, start-up, and operation, as well as technical consulting services. This segment serves independent power project owners, public utilities, power plant heavy equipment suppliers, and other commercial firms. The company's Industrial Construction Services segment provides field services that support new plant construction and additions; maintenance turnarounds; shutdowns and emergency mobilizations for industrial plants; and delivery and installation of steel components, such as piping systems and pressure vessels. Its Telecommunications Infrastructure Services segment offers trenchless directional boring and excavation for underground communication and power networks; aerial cabling; high and low voltage electric lines; and private area outdoor lighting systems, as well as installs buried cable. It also provides structured cabling, terminations, and connectivity that offers the physical transport for high-speed data, voice, video, and security networks. This segment serves electricity cooperative, state and local government agencies, counties and municipalities, and technology-oriented government contracting firms, as well as federal government customers in the mid-Atlantic region of the United States. Argan, Inc. was incorporated in 1961 and is headquartered in Arlington, Virginia."
GLW,NYSE,Income/Growth Blend,Electronic Components,Technology,large,104.95,89.88298,38.87,0.94,6.1491995,3.73,351.0,1.33,6.12,57.39,105.47,84.99,"Corning Incorporated operates in optical communications, display technologies, environmental technologies, specialty materials, and life sciences businesses. The company provides optical fibers and cables; and hardware and equipment products, such as cable assemblies, fiber optic hardware and connectors, optical components and couplers, closures, network interface devices, and other accessories for the telecommunications industry, businesses, governments, and individuals. It also offers glass substrates for flat panel displays, including liquid crystal displays and organic light-emitting diodes that are used in televisions, notebook computers, desktop monitors, tablets, and handheld devices. In addition, it manufactures products that offer material formulations for glass, glass ceramics, crystals, precision metrology instruments, and software, as well as glass wafers and substrates, tinted sunglasses, and radiation shielding products for markets, such as mobile consumer electronics, semiconductor equipment optics and consumables, aerospace and defense optics, radiation shielding products, sunglasses, and telecommunications components. Further, the company provides ceramic substrates and filter products for emissions control in mobile, gasoline, and diesel applications. Additionally, it offers laboratory products, including consumables, such as plastic vessels, liquid handling plastics, specialty surfaces, cell culture media, and serum, as well as general labware, and glassware and equipment under the Corning, Pyrex, Falcon, and Axygen brands. Corning Incorporated operates in the United States, Canada, Mexico, Japan, Taiwan, China, South Korea, Germany, and internationally. The company was formerly known as Corning Glass Works and changed its name to Corning Incorporated in April 1989. The company was founded in 1851 and is headquartered in Corning, New York."
AEM,NYSE,Income/Growth Blend,Gold,Basic Materials,large,102.45,29.67517,28.99,5.88,3.8883567,3.96,126.4,0.92,13.03,42.64,44.47,105.59,"Agnico Eagle Mines Limited, a gold mining company, engages in the exploration, development, and production of precious metals. It explores for gold, silver, zinc, and copper. The company's mines are located in Canada, Australia, Finland, and Mexico; and with exploration and development activities in Canada, Australia, Europe, Latin America, and the United States. Agnico Eagle Mines Limited was incorporated in 1953 and is headquartered in Toronto, Canada."
AGI,NYSE,Income/Growth Blend,Gold,Basic Materials,large,85.5,42.09756,28.99,0.82,3.8669207,3.96,127.4,0.29,10.85,34.21,16.81,64.99,"Alamos Gold Inc. operates as a gold producer in Canada, Mexico, and the United States. The company primarily explores for gold deposits. Alamos Gold Inc. was founded in 2003 and is based in Toronto, Canada."
ASA,NYSE,Income/Growth Blend,Asset Management,Financial Services,small,83.34,3.522613,11.8,13.93,1.1418,1.0,667.1999999999999,0.12,19.77,46.48,59.8,119.8,"ASA Gold and Precious Metals Limited is a publicly owned investment manager. The firm invests in the public equity markets across the globe. It primarily invests in stocks of companies engaged in the exploration, mining or processing of gold, silver, platinum, diamonds, or other precious minerals. It also invests in exchange traded funds. The firm employs fundamental analysis with a bottom-up approach to create its portfolios. The firm obtains external research to complement its in-house research. The firm is focused on covering the metals and mining sector. This record reflects the investment preferences or overall investment strategy of ASA Gold and Precious Metals Limited. ASA Gold and Precious Metals Limited was founded in 1958 and is based in Portland, Maine."
